no;id;x;y;itemgroup
1;1;0.863821357;0.286632898;a
2;1;0.767613322;2.564748996;a
3;1;0.881205893;1;b
4;1;0.223972487;1;b
5;2;0.721569608;-0.472169808;a
6;2;0.692485142;1.175028627;a
7;2;0.859074963;0;b
8;2;0.232918995;1;b
9;3;0.872158292;0.093564127;a
10;3;0.41299353;0.522038911;a
11;3;0.776460167;0;b
12;3;0.371837355;0;b
13;4;0.55849019;2.211134823;a
14;4;0.07585604;0.391900811;a
15;4;0.856890628;1;b
16;4;0.687121654;0;b
17;5;0.33573368;0.204947705;a
18;5;0.418368972;1.308982409;a
19;5;0.353818605;1;b
20;5;0.004460744;1;b
21;6;0.146523706;-0.710510676;a
22;6;0.739962768;0.492894636;a
23;6;0.09880626;1;b
24;6;0.369376871;1;b
25;7;0.699528311;-0.68420037;a
26;7;0.280608114;-0.130747319;a
27;7;0.467701486;0;b
28;7;0.090875157;0;b
29;8;0.141258904;1.074326081;a
30;8;0.262774477;1.016774367;a
31;8;0.666199541;1;b
32;8;0.694249017;1;b
33;9;0.421322513;-1.042224528;a
34;9;0.738296961;0.582892309;a
35;9;0.236876856;1;b
36;9;0.39341519;0;b
37;10;0.380742658;-1.303817319;a
38;10;0.888367746;-1.434355805;a
39;10;0.396509661;0;b
40;10;0.065513119;1;b
41;11;0.515604707;1.371044518;a
42;11;0.464994121;0.628202897;a
43;11;0.524951637;1;b
44;11;0.150243255;0;b
45;12;0.711000865;0.577633668;a
46;12;0.370298162;-0.018142677;a
47;12;0.453334389;1;b
48;12;0.617913481;1;b
49;13;0.283667936;0.657199907;a
50;13;0.206982944;0.616692705;a
51;13;0.607758518;0;b
52;13;0.666271647;1;b
53;14;0.201240151;1.203590514;a
54;14;0.863389909;0.852510155;a
55;14;0.435101057;1;b
56;14;0.001098385;1;b
57;15;0.701569143;0.315009171;a
58;15;0.409578212;0.330451472;a
59;15;0.307314905;0;b
60;15;0.36817855;0;b
61;16;0.890198576;1.244481331;a
62;16;0.660481355;0.559534248;a
63;16;0.212707319;1;b
64;16;0.833987734;1;b
65;17;0.571974911;1.813502903;a
66;17;0.934349286;0.966509789;a
67;17;0.192207367;0;b
68;17;0.005600712;0;b
69;18;0.082969114;-0.164915437;a
70;18;0.061680774;0.594817286;a
71;18;0.304113745;1;b
72;18;0.56717831;0;b
73;19;0.868846873;-0.188337659;a
